apparent_elevation,loss
0,1.8696347675950447
1,1.1300988275838013
2,0.779407049328738
3,0.5843377165049114
4,0.4632928465694182
5,0.38208293445691094
6,0.32433215228961737
7,0.2813892063707262
8,0.2483196710453352
9,0.22213014067001927
10,0.20091069010156704
11,0.1833905497644778
12,0.1686939053845971
13,0.15619880980733775
14,0.145452104824113
15,0.13611618553634355
16,0.12793459919553657
17,0.12070917778583097
18,0.1142844531104895
19,0.10853679673377409
20,0.10336670065532359
21,0.09869319161428655
22,0.09444972364486659
23,0.0905811131487151
24,0.08704122120677135
25,0.08379117945821371
26,0.08079801678512323
27,0.07803358524099821
28,0.07547371198354981
29,0.07309752372730206
30,0.07088690418942743
31,0.06882605501525774
32,0.06690113790089418
33,0.06509998095421277
34,0.06341183625012153
35,0.06182717847620195
36,0.06033753678478325
37,0.058935353636169585
38,0.057613865721963295
39,0.05636700304544755
40,0.05518930301320963
41,0.05407583700185247
42,0.053022147338236264
43,0.05202419301299133
44,0.05107830274931331
45,0.05018113429503717
46,0.04932963899360502
47,0.04852103085928362
48,0.04775275949738885
49,0.047022486333553194
50,0.04632806368372267
51,0.04566751628093257
52,0.045039024932810715
53,0.04444091202576846
54,0.04387162864190387
55,0.04332974308306576
56,0.04281393062834696
57,0.042322964373031825
58,0.04185570702434418
59,0.04141110353355829
60,0.04098817447599668
61,0.040586010089163946
62,0.04020376489751339
63,0.03984065285798868
64,0.039495942973012906
65,0.03916895531830241
66,0.03885905744506474
67,0.03856566111632549
68,0.03828821934639566
69,0.03802622370997155
70,0.037779201900084776
71,0.03754671550601818
72,0.03732835799593065
73,0.03712375287997814
74,0.03693255204615006
75,0.036754434244143055
76,0.036589103714881804
77,0.03643628894546818
78,0.036295741546839524
79,0.036167235239070054
80,0.036050564940675205
81,0.035945545953689
82,0.03585201323776006
83,0.03576982076737557
84,0.03569884096982309
85,0.035638964237267194
86,0.03559009851203008
87,0.03555216893867035
88,0.035525117583678704
89,0.035508903218932804
