theta,gain
0.0,34.1
0.1,34.09560820380679
0.2,34.08242898667492
0.30000000000000004,34.060450845742395
0.4,34.029654552046416
0.5,33.9900130636178
0.6000000000000001,33.94149140256883
0.7000000000000001,33.88404649490367
0.8,33.817626971377855
0.9,33.74217292729995
1.0,33.65761563869623
1.1,33.56387723173657
1.2000000000000002,33.46087030173749
1.3,33.34849747740207
1.4000000000000001,33.22665092521111
1.5,33.09521178802784
1.6,32.95404955099626
1.7000000000000002,32.80302132667692
1.8,32.64197105003888
1.9000000000000001,32.47072857237667
2.0,32.28910864139651
2.1,32.09690975255979
2.2,31.893912854210846
2.3000000000000003,31.679879885960116
2.4000000000000004,31.454552126130654
2.5,31.217648319663795
2.6,30.96886255253932
2.7,30.707861832269007
2.8000000000000003,30.43428332607896
2.9000000000000004,30.147731198629298
3.0,29.847772979044457
3.1,29.533935372006837
3.2,29.205699408867282
3.3000000000000003,28.862494811039053
3.4000000000000004,28.50369340788978
3.5,28.128601412932365
3.6,27.736450312627806
3.7,27.326386057820223
3.8000000000000003,26.897456163546785
3.9000000000000004,26.448594211426446
4.0,25.978601099687022
4.1000000000000005,25.486122184240468
4.2,24.969619178299066
4.3,24.42733529556829
4.4,23.85725158440888
4.5,23.257031632872668
4.6000000000000005,22.62395071035678
4.7,21.95480376400223
4.800000000000001,21.245784201118155
4.9,20.49232154900564
5.0,19.688860001500455
5.1000000000000005,18.82854994765009
5.2,17.902807882221
5.300000000000001,16.90067090881208
5.4,15.80781875167126
5.5,14.605033790269438
5.6000000000000005,13.26566051054418
5.7,11.75116581064448
5.800000000000001,10.002791636729881
5.9,7.924271795375365
6.0,5.340919305187345
6.1000000000000005,1.8811343378602103
6.2,-3.512084247820823
6.300000000000001,-17.961003464997397
6.4,-8.382717289373858
6.5,-1.3628833721206064
6.6000000000000005,2.2461718550934364
6.7,4.619674797360478
6.800000000000001,6.34434291943105
6.9,7.665518784059483
7.0,8.709298095130102
7.1000000000000005,9.549019789553448
7.2,10.231022230813895
7.300000000000001,10.786365494917582
7.4,11.236798573198786
7.5,11.598058958191437
7.6000000000000005,11.881816927322578
7.7,12.096879986727838
7.800000000000001,12.249969213922878
7.9,12.346235460363971
8.0,12.389610570146527
8.1,12.383049756975769
8.200000000000001,12.328699315306725
8.3,12.228010893601141
8.4,12.081815557672687
8.5,11.890365645086995
8.6,11.653348725021946
8.700000000000001,11.369875073531233
8.8,11.038437417339331
8.9,10.656838823836985
9.0,10.22208099445011
9.1,9.730200114068822
9.200000000000001,9.176029627388786
9.3,8.552856756546177
9.4,7.851918331308209
9.5,7.061643880862931
9.600000000000001,6.166483951964963
9.700000000000001,5.1450239232406005
9.8,3.9667940127503307
9.9,2.5865254837462075
10.0,0.9329320497033251
10.100000000000001,-1.1157442088520142
10.200000000000001,-3.794116871223544
10.3,-7.653887658938935
10.4,-14.656541464226834
10.5,-27.771451158681124
10.600000000000001,-11.618679020561096
10.700000000000001,-6.394234963512062
10.8,-3.2286071771721723
10.9,-0.9775273186084661
11.0,0.7507672235292091
11.100000000000001,2.138026653765415
11.200000000000001,3.283555771809091
11.3,4.2475706022524875
11.4,5.069333167522437
11.5,5.775849477274775
11.600000000000001,6.386471567777171
11.700000000000001,6.915519955363692
11.8,7.3738675973398955
11.9,7.7699425437054614
12.0,8.110387558153601
12.100000000000001,8.400508228891965
12.200000000000001,8.644585713452951
12.3,8.846100015745652
12.4,9.007892431273898
12.5,9.132285562542563
12.600000000000001,9.22117303352988
12.700000000000001,9.276087070182793
12.8,9.29824954209181
12.9,9.28861034680034
13.0,9.247875845657418
13.100000000000001,9.17652923421581
13.200000000000001,9.07484412780817
13.3,8.942892183340184
13.4,8.780545205922664
13.5,8.58747186263022
13.600000000000001,8.363128811697091
13.700000000000001,8.106745722050611
13.8,7.817303270397879
13.9,7.493502717536728
14.0,7.133725022107203
14.100000000000001,6.7359765603413315
14.200000000000001,6.297817248751485
14.3,5.816264997101534
14.4,5.287667597139631
14.5,4.707528779764864
14.600000000000001,4.070268205622156
14.700000000000001,3.3688837071904416
14.8,2.594464638329768
14.9,1.7354707749457958
15.0,0.7766275326216956
15.100000000000001,-0.3028360520908322
15.200000000000001,-1.5321389564512842
15.3,-2.954204844209478
15.4,-4.635789659424141
15.5,-6.689154681943251
15.600000000000001,-9.325883579998262
15.700000000000001,-13.025296531357718
15.8,-19.348517449211187
15.9,-47.618828188751074
16.0,-18.99560748449627
16.1,-13.304272997183418
16.2,-10.018293871803444
16.3,-7.741001387590821
16.400000000000002,-6.026130168951532
16.5,-4.6732796320140935
16.6,-3.5751322921425484
16.7,-2.6675455635073675
16.8,-1.9091834161965764
16.900000000000002,-1.2719126296174181
17.0,-0.7357863323834621
17.1,-0.28621474184002693
17.2,0.0877284746861875
17.3,0.39436914196500794
17.400000000000002,0.6401254513997401
17.5,0.829973404188884
17.6,0.9677667195319373
17.7,1.0564601110874392
17.8,1.0982660547882048
17.900000000000002,1.0947640137933519
18.0,1.0469741699008424
18.1,0.955403213182656
18.2,0.8200666300935495
18.3,0.6404895800357551
18.400000000000002,0.4156864432315146
18.5,0.14411712903952179
18.6,-0.17638407278323598
18.7,-0.548714341613092
18.8,-0.9766544668493538
18.900000000000002,-1.4650855248489094
19.0,-2.0202990303414765
19.1,-2.6504474363834944
19.200000000000003,-3.366213248282939
19.3,-4.181832564452279
19.400000000000002,-5.116720100002176
19.5,-6.198171712032348
19.6,-7.466129066635332
19.700000000000003,-8.982234179830016
19.8,-10.848840807933279
19.900000000000002,-13.254921843517693
