apparent_elevation,loss
0,2.981918839616658
1,1.6545273718129072
2,1.1050883792549948
3,0.8167360950990246
4,0.6428307557027065
5,0.5279608638538489
6,0.44702848288020314
7,0.3872025293905053
8,0.34131400595045713
9,0.30507315124089646
10,0.2757688648514445
11,0.25160966522460626
12,0.23136715206721184
13,0.21417238373224431
14,0.19939415618903278
15,0.18656335016518524
16,0.17532430252370626
17,0.16540261864603603
18,0.1565833112680574
19,0.14869561034551318
20,0.14160219156798792
21,0.13519139776667213
22,0.12937152865219786
23,0.12406658612131276
24,0.11921306093756462
25,0.11475747573443887
26,0.11065448492698314
27,0.10686538991266105
28,0.10335696757151132
29,0.10010053771341312
30,0.09707121455739352
31,0.09424730129067821
32,0.09160979683571271
33,0.0891419913228681
34,0.08682913222113042
35,0.0846581471591877
36,0.08261741252380574
37,0.08069655926891248
38,0.07888630914076904
39,0.07717833591140862
40,0.07556514728280012
41,0.07403998395811731
42,0.07259673304288516
43,0.0712298534651932
44,0.06993431150651566
45,0.06870552489156825
46,0.0675393141400632
47,0.06643186009908048
48,0.06537966677333026
49,0.06437952868932495
50,0.06342850217157472
51,0.06252387998898913
52,0.0616631689270039
53,0.060844069900738866
54,0.06006446027555394
55,0.05932237812541718
56,0.058616008180568266
57,0.057943669265503595
58,0.05730380303846717
59,0.056694963894136474
60,0.056115809879706866
61,0.05556509452147064
62,0.05504165945206598
63,0.054544427757386826
64,0.05407239795653634
65,0.05362463856035728
66,0.05320028313587577
67,0.05279852583270774
68,0.05241861732516374
69,0.05205986112303055
70,0.05172161022372866
71,0.0514032640665572
72,0.05110426576729721
73,0.050824099601520054
74,0.050562288721069173
75,0.05031839308039972
76,0.05009200755310917
77,0.04988276022925678
78,0.04969031087679928
79,0.04951434954850526
80,0.049354595337723225
81,0.04921079525747691
82,0.04908272324790882
83,0.04897017929603656
84,0.04887298866493511
85,0.04879100122515768
86,0.04872409088411022
87,0.04867215511325147
88,0.04863511456176501
89,0.04861291276032947
