apparent_elevation,loss
0,1.8823316953466562
1,1.138727953685505
2,0.7859894402901025
3,0.5895001517074914
4,0.46748282266465235
5,0.3855851960693182
6,0.32732985871528714
7,0.2840042046362343
8,0.25063599454897323
9,0.22420770436026327
10,0.20279348580423434
11,0.1851117141550589
12,0.1702789585194227
13,0.157667788946628
14,0.14682101008707857
15,0.1373979841815444
16,0.1291399391417112
17,0.121846904899723
18,0.1153619930883436
19,0.10956044167197404
20,0.10434182729571846
21,0.09962442981682565
22,0.09534108802403977
23,0.09143610709077
24,0.08786291990694571
25,0.08458229683881915
26,0.08156095989189699
27,0.07877049882259952
28,0.0761865152839312
29,0.07378794108454582
30,0.07155649063712728
31,0.06947621782819378
32,0.06753315483722307
33,0.06571501577897103
34,0.06401095201355476
35,0.06241134892397095
36,0.06090765620578498
37,0.05949224539813516
38,0.05815828969895354
39,0.05689966210520398
40,0.05571084870498081
41,0.054586874557166466
42,0.05352324008560872
43,0.05251586628229267
44,0.0515610473416347
45,0.05065540956903983
46,0.04979587562146354
47,0.048979633292373835
48,0.048204108180195354
49,0.04746693969203343
50,0.04676595992064638
51,0.046099174995658236
52,0.04546474858923446
53,0.04486098728302723
54,0.04428632756540085
55,0.04373932424739618
56,0.04321864012295086
57,0.04272303672494474
58,0.04225136603888839
59,0.04180256307039068
60,0.04137563916104323
61,0.04096967597060628
62,0.04058382005082929
63,0.04021727794585415
64,0.03986931176460695
65,0.03953923517018681
66,0.03922640974854639
67,0.0389302417131823
68,0.038650178919053785
69,0.038385708144908985
70,0.03813635262768425
71,0.03790166982048298
72,0.03768124935498274
73,0.037474711190723625
74,0.0372817039296524
75,0.037101903290267
76,0.03693501072271257
77,0.036780752152318574
78,0.03663887684562534
79,0.03650915638689301
80,0.036391383759845124
81,0.036285372523223565
82,0.03619095607885414
83,0.036107987022744086
84,0.03603633657871652
85,0.03597589410415609
86,0.03592656667275105
87,0.035888278721942106
88,0.035860971772356726
89,0.03584460420617938
