apparent_elevation,loss
0,1.8715582999878142
1,1.131040426269111
2,0.7799998123610188
3,0.584763049449917
4,0.46362230068062676
5,0.3823510000713861
6,0.3245578067428048
7,0.28158391313801145
8,0.2484908498888834
9,0.22228285523398128
10,0.20104854354889773
11,0.18351619401752983
12,0.16880934724811414
13,0.15630560362995463
14,0.1455514785019401
15,0.13620912565482277
16,0.12802191019668857
17,0.12079152409848272
18,0.114362389795856
19,0.10861079220098047
20,0.10343715378328319
21,0.0987604448522972
22,0.09451407317254801
23,0.09064281685213932
24,0.08710050501008797
25,0.08384824240097045
26,0.08085303513178482
27,0.07808671583564117
28,0.07552509501004798
29,0.07314728499702464
30,0.07093515705016992
31,0.06887290195423322
32,0.0669466718987538
33,0.06514428663506326
34,0.06345499086336054
35,0.06186925273881611
36,0.06037859560725795
37,0.05897545675079751
38,0.05765306822888758
39,0.056405355889042864
40,0.055226853399211434
41,0.05411262876387453
42,0.05305822126087916
43,0.05205958711759029
44,0.05111305254739407
45,0.050215273013783424
46,0.049363197776981886
47,0.04855403894791428
48,0.04778524438983614
49,0.04705447393129143
50,0.0463595784217486
51,0.04569858124570836
52,0.04506966196899256
53,0.04447114183301723
54,0.04390147086285501
55,0.0433592163834396
56,0.04284305277005111
57,0.04235175228099246
58,0.041884176847709814
59,0.04143927070187411
60,0.04101605375084404
61,0.04061361561172365
62,0.04023111023244899
63,0.03986775103401608
64,0.03952280652046626
65,0.03919559630398594
66,0.03888548750464854
67,0.038591891484503316
68,0.038314260885030205
69,0.038052086934394144
70,0.03780489700372812
71,0.037572252383531596
72,0.037353746264920364
73,0.03714900190148999
74,0.03695767094401581
75,0.036779431923293346
76,0.03661398887872249
77,0.03646107011240717
78,0.03632042706604641
79,0.036191833305544235
80,0.03607508360969533
81,0.03596999315469741
82,0.03587639678775972
83,0.03579414838389138
84,0.035723120283466414
85,0.035663202803980845
86,0.03561430382504248
87,0.03557634844021622
88,0.03554927867652841
89,0.03553305327776968
