apparent_elevation,loss
0.0,1.922973000803
1.0,1.160378232830
2.0,0.800959589892
3.0,0.600753488844
4.0,0.476422097144
5.0,0.392967063111
6.0,0.333601497180
7.0,0.289448787319
8.0,0.255442821536
9.0,0.228508951194
10.0,0.206684785843
11.0,0.188664336592
12.0,0.173547352517
13.0,0.160694442914
14.0,0.149639688060
15.0,0.140035944609
16.0,0.131619494929
17.0,0.124186545009
18.0,0.117577204903
19.0,0.111664324691
20.0,0.106345558161
21.0,0.101537620067
22.0,0.097172062549
23.0,0.093192123553
24.0,0.089550343467
25.0,0.086206740649
26.0,0.083127399084
27.0,0.080283363718
28.0,0.077649768365
29.0,0.075205140753
30.0,0.072930844524
31.0,0.070810627664
32.0,0.068830254379
33.0,0.066977203060
34.0,0.065240416904
35.0,0.063610096801
36.0,0.062077528364
37.0,0.060634936734
38.0,0.059275364087
39.0,0.057992565826
40.0,0.056780922279
41.0,0.055635362876
42.0,0.054551301723
43.0,0.053524581525
44.0,0.052551425336
45.0,0.051628394700
46.0,0.050752353196
47.0,0.049920434625
48.0,0.049130015164
49.0,0.048378688900
50.0,0.047664246302
51.0,0.046984655220
52.0,0.046338044068
53.0,0.045722686912
54.0,0.045136990223
55.0,0.044579481061
56.0,0.044048796544
57.0,0.043543674426
58.0,0.043062944648
59.0,0.042605521766
60.0,0.042170398138
61.0,0.041756637787
62.0,0.041363370879
63.0,0.040989788723
64.0,0.040635139254
65.0,0.040298722956
66.0,0.039979889043
67.0,0.039678032558
68.0,0.039392590633
69.0,0.039123040194
70.0,0.038868895322
71.0,0.038629704970
72.0,0.038405050890
73.0,0.038194545743
74.0,0.037997831382
75.0,0.037814577301
76.0,0.037644479213
77.0,0.037487257781
78.0,0.037342657460
79.0,0.037210445441
80.0,0.037090410738
81.0,0.036982363325
82.0,0.036886133408
83.0,0.036801570749
84.0,0.036728544100
85.0,0.036666940696
86.0,0.036616665822
87.0,0.036577642466
88.0,0.036549811025
89.0,0.036533129083
90.0,0.036527571263
