apparent_elevation,loss
0,1.8597969232936173
1,1.124100488153785
2,0.7751108805041649
3,0.5810566627435662
4,0.4606651073988222
5,0.3799028778443075
6,0.3224746674581046
7,0.2797736586765515
8,0.2468915376125568
9,0.22085105463499663
10,0.19975273820349687
11,0.1823328457659379
12,0.1677204435979032
13,0.15529707104831392
14,0.14461212209275856
15,0.1353299003150351
16,0.12719540707270915
17,0.12001160076592869
18,0.1136238987223178
19,0.10790937789525545
20,0.10276909887510179
21,0.0981225516677549
22,0.09390357144139842
23,0.09005729094963942
24,0.08653783599031736
25,0.08330656136524404
26,0.08033068537905964
27,0.07758222189026931
28,0.07503713707669733
29,0.07267467775217099
30,0.07047683191312348
31,0.06842789217309606
32,0.06651409993703845
33,0.06472335344373056
34,0.06304496670995643
35,0.06146946933441363
36,0.059988439311221546
37,0.058594362686227926
38,0.05728051516322137
39,0.05604086176416043
40,0.05486997141607137
41,0.053762943938900125
42,0.052715347387502484
43,0.0517231640796356
44,0.0507827439336867
45,0.049890763994495324
46,0.049044193211023164
47,0.04824026168531398
48,0.04747643375346072
49,0.04675038434816273
50,0.046059978191384694
51,0.045403251427354144
52,0.04477839537311416
53,0.044183742108370026
54,0.043617751664583725
55,0.04307900061642029
56,0.0425661718974602
57,0.04207804569473918
58,0.04161349128654631
59,0.04117145972271154
60,0.04075097723886244
61,0.0403511393313123
62,0.03997110541078966
63,0.03961009397895677
64,0.03926737826280622
65,0.03894228226911793
66,0.03863417720515666
67,0.038342478234322214
68,0.03806664153326488
69,0.03780616161617267
70,0.03756056890695645
71,0.0373294275293245
72,0.03711233330192956
73,0.03690891191202838
74,0.03671881725968231
75,0.036541729953013344
76,0.03637735594238831
77,0.036225425284906895
78,0.03608569102834294
79,0.035957928200466456
80,0.03584193290662962
81,0.03573752151627455
82,0.0356445299430979
83,0.035562813006043935
84,0.035492243870438804
85,0.03543271356276172
86,0.035384130556786235
87,0.0353464204302904
88,0.03531952558484412
89,0.035303405031031306
