Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.201    0.201 propagation_building_entry_loss.py:1(<module>)
  2131344    0.201    0.000    0.201    0.000 fromnumeric.py:1976(_shape_dispatcher)
       10    0.060    0.006    0.200    0.020 simulation_downlink.py:449(collect_results)
     4164    0.079    0.000    0.199    0.000 scanner.py:752(scan_to_next_token)
    10640    0.101    0.000    0.198    0.000 type_check.py:403(nan_to_num)
     7980    0.181    0.000    0.193    0.000 antenna_beamforming_imt.py:248(_weight_vector)
       10    0.034    0.003    0.189    0.019 station_factory.py:70(generate_imt_base_stations)
    48345    0.119    0.000    0.188    0.000 defmatrix.py:190(__getitem__)
     1212    0.008    0.000    0.187    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.174    0.174 figure.py:1(<module>)
        1    0.000    0.000    0.171    0.171 topology_ntn.py:1(<module>)
       16    0.137    0.009    0.171    0.011 propagation_uma.py:132(get_loss_los)
      117    0.000    0.000    0.167    0.001 artist.py:1837(kwdoc)
        1    0.000    0.000    0.167    0.167 _stats_py.py:1(<module>)
        1    0.000    0.000    0.166    0.166 geoseries.py:1(<module>)
        1    0.000    0.000    0.166    0.166 _interpolate.py:1(<module>)
      117    0.004    0.000    0.143    0.001 artist.py:1598(pprint_setters)
        8    0.000    0.000    0.139    0.017 api.py:1(<module>)
        1    0.000    0.000    0.137    0.137 colorbar.py:1(<module>)
    56645    0.131    0.000    0.131    0.000 {built-in method _warnings.warn}
    79244    0.126    0.000    0.126    0.000 {built-in method numpy.array}
     2660    0.023    0.000    0.123    0.000 antenna_s1528.py:30(__init__)
     1212    0.022    0.000    0.122    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.121    0.121 distributions.py:1(<module>)
     4252    0.009    0.000    0.115    0.000 artist.py:1470(get_valid_values)
       10    0.047    0.005    0.106    0.011 propagation_uma.py:185(get_loss_nlos)
   240180    0.086    0.000    0.102    0.000 reader.py:99(forward)
     1464    0.002    0.000    0.102    0.000 parser.py:446(parse_block_mapping_value)
     5320    0.002    0.000    0.100    0.000 _basic.py:338(jn_zeros)
     1212    0.099    0.000    0.099    0.000 {built-in method marshal.loads}
     5320    0.095    0.000    0.099    0.000 _basic.py:253(jnyn_zeros)
   225920    0.080    0.000    0.098    0.000 defmatrix.py:168(__array_finalize__)
    32200    0.018    0.000    0.097    0.000 fromnumeric.py:53(_wrapfunc)
48156/47512    0.070    0.000    0.097    0.000 {built-in method __new__ of type object at 0xa43b40}
        3    0.000    0.000    0.096    0.032 generic.py:1(<module>)
31593/30847    0.008    0.000    0.090    0.000 {built-in method builtins.hasattr}
    24095    0.023    0.000    0.089    0.000 defmatrix.py:37(asmatrix)
     1531    0.009    0.000    0.088    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    64522    0.044    0.000    0.087    0.000 fromnumeric.py:1768(ravel)
     7344    0.047    0.000    0.086    0.000 inspect.py:875(cleandoc)
        1    0.000    0.000    0.085    0.085 _continuous_distns.py:1(<module>)
        2    0.000    0.000    0.085    0.042 __config__.py:1(<module>)
    38/36    0.000    0.000    0.083    0.002 __init__.py:73(import_module)
    38/36    0.000    0.000    0.083    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
     7357    0.005    0.000    0.082    0.000 inspect.py:856(getdoc)
      108    0.002    0.000    0.080    0.001 _distn_infrastructure.py:1800(__init__)
