Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 sysconfig.py:290(_expand_vars)
       34    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 datetimelike.py:1940(TimelikeOps)
       33    0.000    0.000    0.000    0.000 custom_functions.py:6(wrap2pi)
        1    0.000    0.000    0.000    0.000 trf.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
       34    0.000    0.000    0.000    0.000 sharc_geom.py:5(cartesian_to_polar)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     1476    0.000    0.000    0.000    0.000 scanner.py:349(add_indent)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
      170    0.000    0.000    0.000    0.000 cm.py:89(__getitem__)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
        9    0.000    0.000    0.000    0.000 crs.py:87(_prepare_from_proj_string)
        1    0.000    0.000    0.000    0.000 _fftlog.py:1(<module>)
      117    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _rgi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        6    0.000    0.000    0.000    0.000 contextlib.py:77(__call__)
      798    0.000    0.000    0.000    0.000 __init__.py:966(<lambda>)
     1566    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
       79    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tnc.py:1(<module>)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2421(all)
      340    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       99    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      166    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       25    0.000    0.000    0.000    0.000 functools.py:651(cache)
       22    0.000    0.000    0.000    0.000 core.py:4077(_generateDefaultName)
      801    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
      343    0.000    0.000    0.000    0.000 _docscrape.py:428(_str_indent)
        1    0.000    0.000    0.000    0.000 blocks.py:1(<module>)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 merge.py:1(<module>)
        1    0.000    0.000    0.000    0.000 file.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       42    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
     12/2    0.000    0.000    0.000    0.000 core.py:1538(makeOptionalList)
        3    0.000    0.000    0.000    0.000 concat.py:1(<module>)
       13    0.000    0.000    0.000    0.000 expr.py:188(_filter_nodes)
       63    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       37    0.000    0.000    0.000    0.000 transforms.py:1324(__init_subclass__)
      881    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      827    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       44    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mstats.py:1(<module>)
       52    0.000    0.000    0.000    0.000 accessor.py:126(_forbid_nonstring_types)
        1    0.000    0.000    0.000    0.000 tempfile.py:460(mkstemp)
       24    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 _kde.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:737(_get_scale_docs)
      562    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 _interpolative_backend.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1686(handle)
       40    0.000    0.000    0.000    0.000 function_base.py:5563(append)
       65    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
      281    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      178    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
       39    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       12    0.000    0.000    0.000    0.000 extension.py:125(wrapper)
       72    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 base.py:284(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 _odepack_py.py:1(<module>)
       70    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
       17    0.000    0.000    0.000    0.000 generic.py:36(create_pandas_abc_type)
      801    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.000    0.000 __init__.py:514(_get_config_or_cache_dir)
      123    0.000    0.000    0.000    0.000 expr.py:192(<genexpr>)
       42    0.000    0.000    0.000    0.000 _axis_nan_policy.py:261(_get_axis_params)
        1    0.000    0.000    0.000    0.000 _rbfinterp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linestring.py:1(<module>)
       98    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
        1    0.000    0.000    0.000    0.000 _decomp_schur.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1746(callHandlers)
       28    0.000    0.000    0.000    0.000 pathlib.py:1067(_make_child_relpath)
      325    0.000    0.000    0.000    0.000 generic.py:42(_instancecheck)
      740    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 propagation_hdfss_roof_top.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
     3237    0.000    0.000    0.000    0.000 inspect.py:2769(default)
      937    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:382(_mkstemp_inner)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:5899(__init__)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 _quadpack_py.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1011(handle)
        1    0.000    0.000    0.000    0.000 _io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:884(Window)
        7    0.000    0.000    0.000    0.000 core.py:1446(__radd__)
      200    0.000    0.000    0.000    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.000    0.000 dtypes.py:690(DatetimeTZDtype)
        1    0.000    0.000    0.000    0.000 propagation_sat_simple.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
        1    0.000    0.000    0.000    0.000 from_dataframe.py:1(<module>)
     1400    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 figure.py:2360(Figure)
        1    0.000    0.000    0.000    0.000 TiffTags.py:421(_populate)
        1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
      152    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:431(realpath)
        1    0.000    0.000    0.000    0.000 generic.py:1329(DataFrameGroupBy)
      160    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _multivariate.py:2674(__init__)
       92    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
     2728    0.000    0.000    0.000    0.000 multiarray.py:85(empty_like)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
     2158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
     1464    0.000    0.000    0.000    0.000 scanner.py:38(__init__)
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:66(RangeIndex)
       11    0.000    0.000    0.000    0.000 version.py:45(parse)
       13    0.000    0.000    0.000    0.000 common.py:160(is_url)
       13    0.000    0.000    0.000    0.000 csvs.py:277(_save_header)
       26    0.000    0.000    0.000    0.000 frame.py:4027(_iter_column_arrays)
        1    0.000    0.000    0.000    0.000 _lbfgsb_py.py:1(<module>)
       67    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
       78    0.000    0.000    0.000    0.000 core.py:4078(<genexpr>)
        2    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:1351(getfullargspec)
     1184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
      247    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        3    0.000    0.000    0.000    0.000 expr.py:280(disallowed)
        1    0.000    0.000    0.000    0.000 _pep440.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _numdiff.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
        1    0.000    0.000    0.000    0.000 _cobyla_py.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:1186(_get_binary_io_classes)
      6/3    0.000    0.000    0.000    0.000 <frozen posixpath>:440(_joinrealpath)
     1373    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 parameters.py:32(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2802(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polygon.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.000    0.000 propagation_sat_simple.py:20(PropagationSatSimple)
      101    0.000    0.000    0.000    0.000 inspect.py:2121(_signature_is_builtin)
       19    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       18    0.000    0.000    0.000    0.000 dispatcher.py:186(add)
      210    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      120    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       21    0.000    0.000    0.000    0.000 pathlib.py:837(stat)
        1    0.000    0.000    0.000    0.000 datetimelike.py:196(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
        2    0.000    0.000    0.000    0.000 _multivariate.py:1988(__init__)
       47    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 textwrap.py:386(fill)
        2    0.000    0.000    0.000    0.000 decorator.py:215(decorator)
       13    0.000    0.000    0.000    0.000 common.py:151(__exit__)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
       42    0.000    0.000    0.000    0.000 _axis_nan_policy.py:310(_axis_nan_policy_factory)
        1    0.000    0.000    0.000    0.000 topology_macrocell.py:1(<module>)
      437    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
        1    0.000    0.000    0.000    0.000 topology.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraylike.py:1(<module>)
       66    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
      698    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
       13    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      350    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       10    0.000    0.000    0.000    0.000 {method 'rayleigh' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 _zeros_py.py:1(<module>)
       11    0.000    0.000    0.000    0.000 core.py:1697(__call__)
      169    0.000    0.000    0.000    0.000 core.py:2422(__new__)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
       81    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
      716    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        5    0.000    0.000    0.000    0.000 __init__.py:1148(emit)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
      139    0.000    0.000    0.000    0.000 core.py:1964(__eq__)
        1    0.000    0.000    0.000    0.000 _crosstab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:421(copy)
      3/1    0.000    0.000    0.000    0.000 results.py:127(create_dir)
        1    0.000    0.000    0.000    0.000 parameters_single_earth_station.py:226(validate)
        5    0.000    0.000    0.000    0.000 decorator.py:75(__init__)
        1    0.000    0.000    0.000    0.000 coordinate_operation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _oriented_envelope.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ticker.py:2240(LogLocator)
       36    0.000    0.000    0.000    0.000 rcsetup.py:744(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:80(_make_selector)
     1212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        2    0.000    0.000    0.000    0.000 textwrap.py:361(fill)
       17    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
       13    0.000    0.000    0.000    0.000 common.py:131(close)
        1    0.000    0.000    0.000    0.000 _mixins.py:92(NDArrayBackedExtensionArray)
        1    0.000    0.000    0.000    0.000 pathlib.py:192(__init__)
       10    0.000    0.000    0.000    0.000 spectral_mask_3gpp.py:89(set_mask)
       10    0.000    0.000    0.000    0.000 shape_base.py:1185(tile)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
        1    0.000    0.000    0.000    0.000 coordinate_system.py:1(<module>)
      133    0.000    0.000    0.000    0.000 expr.py:181(<genexpr>)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:452(gettempdir)
        2    0.000    0.000    0.000    0.000 textwrap.py:347(wrap)
  306/282    0.000    0.000    0.000    0.000 results.py:171(__init__)
      165    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        8    0.000    0.000    0.000    0.000 core.py:584(_setResultsName)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
       19    0.000    0.000    0.000    0.000 pathlib.py:872(is_dir)
       15    0.000    0.000    0.000    0.000 base.py:549(find)
        1    0.000    0.000    0.000    0.000 topology.py:13(Topology)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       75    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        2    0.000    0.000    0.000    0.000 tempfile.py:440(_gettempdir)
        1    0.000    0.000    0.000    0.000 string_arrow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 topology_macrocell.py:16(TopologyMacrocell)
        4    0.000    0.000    0.000    0.000 pathlib.py:1199(home)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:105(_compile_pattern)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 pydoc.py:489(Doc)
        1    0.000    0.000    0.000    0.000 doccer.py:205(filldoc)
        1    0.000    0.000    0.000    0.000 topology_ntn.py:10(TopologyNTN)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
        1    0.000    0.000    0.000    0.000 _gcrotmk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 propagation_clear_air_452.py:19(PropagationClearAir)
        1    0.000    0.000    0.000    0.000 topology_hotspot.py:22(TopologyHotspot)
        1    0.000    0.000    0.000    0.000 doccer.py:231(unindent_dict)
       13    0.000    0.000    0.000    0.000 frame.py:4017(_get_column_array)
       23    0.000    0.000    0.000    0.000 core.py:5225(__init__)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:456(DebugActions)
      537    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.000    0.000 _manylinux.py:162(_get_glibc_version)
      287    0.000    0.000    0.000    0.000 _distn_infrastructure.py:790(<genexpr>)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 model.py:33(set_param_file)
        2    0.000    0.000    0.000    0.000 getlimits.py:540(_init)
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:59(comma_separated)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:1(<module>)
      587    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        1    0.000    0.000    0.000    0.000 _sputils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 projections.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:322(_get_default_tempdir)
      314    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 rrule.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _slsqp_py.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_parser.py:101(ParserBase)
       12    0.000    0.000    0.000    0.000 scanner.py:612(fetch_anchor)
        1    0.000    0.000    0.000    0.000 _fit.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:214(_safe_realpath)
     1419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 __init__.py:588(matplotlib_fname)
       14    0.000    0.000    0.000    0.000 doccer.py:239(unindent_string)
     2403    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 core.py:3749(ParseExpression)
        1    0.000    0.000    0.000    0.000 _manylinux.py:143(_parse_glibc_version)
       13    0.000    0.000    0.000    0.000 managers.py:1026(iget_values)
      281    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 transformer.py:313(Transformer)
        1    0.000    0.000    0.000    0.000 predicates.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:3086(ArrowStyle)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
       27    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
       13    0.000    0.000    0.000    0.000 subprocess.py:1880(<genexpr>)
        1    0.000    0.000    0.000    0.000 _musllinux.py:1(<module>)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
       12    0.000    0.000    0.000    0.000 scanner.py:601(fetch_alias)
       76    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
        1    0.000    0.000    0.000    0.000 argparse.py:1036(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
       12    0.000    0.000    0.000    0.000 scanner.py:654(fetch_double)
     1212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        1    0.000    0.000    0.000    0.000 propagation_umi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       42    0.000    0.000    0.000    0.000 _docscrape.py:476(_str_see_also)
        1    0.000    0.000    0.000    0.000 propagation_p619.py:26(PropagationP619)
        1    0.000    0.000    0.000    0.000 propagation_uma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:484(get_makefile_filename)
      106    0.000    0.000    0.000    0.000 extension.py:32(_inherit_from_data)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
      168    0.000    0.000    0.000    0.000 _docscrape.py:468(_str_section)
      213    0.000    0.000    0.000    0.000 _docscrape.py:50(read)
      213    0.000    0.000    0.000    0.000 _docscrape.py:16(strip_blank_lines)
       39    0.000    0.000    0.000    0.000 numeric.py:274(full)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _direct_py.py:1(<module>)
       13    0.000    0.000    0.000    0.000 csvs.py:233(encoded_labels)
        1    0.000    0.000    0.000    0.000 tfqmr.py:1(<module>)
     1466    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       12    0.000    0.000    0.000    0.000 scanner.py:657(fetch_flow_scalar)
        1    0.000    0.000    0.000    0.000 categorical.py:246(Categorical)
        2    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
      546    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      434    0.000    0.000    0.000    0.000 _docscrape.py:390(<genexpr>)
       18    0.000    0.000    0.000    0.000 _continuous_distns.py:58(_call_super_mom)
       52    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 integer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyarrow.py:1(<module>)
       50    0.000    0.000    0.000    0.000 {built-in method math.log10}
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
       22    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.000    0.000    0.000    0.000 topology_single_base_station.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:609(gen_candidates)
       26    0.000    0.000    0.000    0.000 frame.py:659(_constructor_from_mgr)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 nodes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 propagation_ter_simple.py:1(<module>)
       13    0.000    0.000    0.000    0.000 common.py:550(infer_compression)
        4    0.000    0.000    0.000    0.000 pathlib.py:1400(expanduser)
       32    0.000    0.000    0.000    0.000 __init__.py:667(__init__)
        1    0.000    0.000    0.000    0.000 propagation_abg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1341(TextBox)
        1    0.000    0.000    0.000    0.000 contour.py:716(ContourSet)
      357    0.000    0.000    0.000    0.000 inspect.py:299(ismethod)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
      793    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x701dd292bba0}
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2533(SpanSelector)
        1    0.000    0.000    0.000    0.000 results.py:31(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:615(RangeSlider)
       97    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
       39    0.000    0.000    0.000    0.000 generic.py:278(__init__)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 named_tuples.py:1(<module>)
       13    0.000    0.000    0.000    0.000 printing.py:567(get_adjustment)
       34    0.000    0.000    0.000    0.000 generic.py:13611(make_doc)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
       11    0.000    0.000    0.000    0.000 sharc_geom.py:35(polar_to_cartesian)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:230(copyfile)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
        1    0.000    0.000    0.000    0.000 pytables.py:4836(AppendableMultiFrameTable)
      716    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
       22    0.000    0.000    0.000    0.000 decorators.py:16(__call__)
        2    0.000    0.000    0.000    0.000 sysconfig.py:282(_extend_dict)
      265    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
       43    0.000    0.000    0.000    0.000 core.py:3107(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 shapefile.py:1(<module>)
      716    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
        1    0.000    0.000    0.000    0.000 enums.py:89(PJType)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 sat_utils.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 datadir.py:53(get_data_dir)
       12    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        1    0.000    0.000    0.000    0.000 stata.py:823(StataMissingValue)
       12    0.000    0.000    0.000    0.000 scanner.py:1134(scan_flow_scalar)
       40    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       98    0.000    0.000    0.000    0.000 inspect.py:2461(_descriptor_get)
       11    0.000    0.000    0.000    0.000 einsumfunc.py:1009(einsum)
      325    0.000    0.000    0.000    0.000 generic.py:37(_check)
        3    0.000    0.000    0.000    0.000 <frozen os>:200(makedirs)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 topology_indoor.py:17(TopologyIndoor)
        1    0.000    0.000    0.000    0.000 propagation_umi.py:15(PropagationUMi)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
